"country","period","climate_pct_very_serious","climate_pct_serious","climate_pct_not_serious","climate_pct_not_at_all_serious","climate_very_serious","climate_serious","climate_not_serious","climate_not_at_all_serious","climate_num","climate_cat","climate_cat_2"
"Algeria","2019-01-31-2019-02-18",0.344928342279575,0.370980120673128,0.253841399123749,0.0302501379235481,379,410,298,44,2.03058666730873,"serious","very serious"
"Egypt","2018-10-13-2018-11-11",0.417295888444513,0.235302447738376,0.21554421382813,0.131857449988981,462,271,260,157,1.93803677463842,"serious","serious"
"Iraq","2018-12-24-2019-01-27",0.289162131015827,0.303068708125434,0.258374307203367,0.149394853655373,352,357,294,180,1.73199811650172,"serious","serious"
"Jordan","2018-10-15-2018-11-01",0.403344893987908,0.291984853141249,0.231469635166013,0.0732006177048299,489,360,247,82,2.02547402341224,"serious","very serious"
"Kuwait","2019-04-22-2019-06-11",0.117517753916209,0.259166474735487,0.413510719343794,0.20980505200451,163,336,569,298,1.2843969305634,"not very serious","not very serious"
"Lebanon","2018-09-21-2018-10-19",0.514678679863169,0.279696740426256,0.167109017123434,0.0385155625871398,620,348,202,45,2.27053853756545,"serious","very serious"
"Libya","2019-01-19-2019-04-11",0.384853172430123,0.251502488591715,0.265866862332478,0.0977774766456844,359,236,254,86,1.92343135680628,"serious","serious"
"Morocco","2018-10-11-2018-12-04",0.396558037880604,0.285609666485491,0.211277919881359,0.106554375752546,454,328,240,120,1.97217136649415,"serious","serious"
"Palestine","2018-10-05-2018-10-24",0.301255645531712,0.385680926608598,0.238345849623697,0.0747175782359932,421,475,290,88,1.91347463943603,"serious","serious"
"Sudan","2018-09-17-2018-12-06",0.38289168092776,0.322478054600721,0.215249501400433,0.079380763071086,336,299,181,67,2.00888065338515,"serious","very serious"
"Tunisia","2018-10-29-2018-12-04",0.423085390654753,0.300482164681886,0.182691423730697,0.0937410209326648,470,335,211,104,2.05291192505873,"serious","very serious"
"Yemen","missing",0.317044489774709,0.279562797838048,0.255582098453452,0.147810613933791,357,315,302,174,1.76584116345368,"serious","serious"
